레벨,단어,품사,뜻,유의어,반대말,예문,해석
고1-2,rude,adj.,무례한,impolite,"polite, polite",His rude words hurt her.,그의 무례한 말이 그녀를 상처 입혔다.
고1-2,ruin,v.,"망치다, 파괴하다",destroy,,Rain ruined our picnic.,비가 우리 소풍을 망쳤다.
고1-2,ruin,v.,"망치다, 파괴하다",destroy,,One mistake ruined the plan.,실수 하나가 계획을 망쳤다.
고1-2,ruin,v.,"망치다, 파괴하다",destroy,,The fire ruined the house.,불이 그 집을 파괴했다.
고1-2,rule,n.,규칙,"law, regulation",,We must follow the school rules.,우리는 학교 규칙을 지켜야 한다.
고1-2,rule,n.,규칙,"law, regulation",,What are the rules of this game?,이 게임의 규칙은 무엇이니?
고1-2,rule,n.,규칙,"law, regulation",,Breaking the rule is not allowed.,규칙을 어기는 것은 허용되지 않는다.
고1-2,rush,v.,"서두르다, 돌진하다",hurry,,Do not rush your work.,일을 서두르지 마라.
고1-2,rush,v.,"서두르다, 돌진하다",hurry,,She rushed to the station.,그녀는 역으로 서둘러 갔다.
고1-2,rush,v.,"서두르다, 돌진하다",hurry,,People are rushing home.,사람들이 집으로 서둘러 가고 있다.
고1-2,sail,v.,항해하다,navigate,,They sailed across the sea.,그들은 바다를 건너 항해했다.
고1-2,sail,v.,항해하다,navigate,,The ship sails at dawn.,배는 새벽에 출항한다.
고1-2,sail,v.,항해하다,navigate,,We are sailing to the island.,우리는 섬으로 항해하고 있다.
고1-2,salary,n.,"급여, 월급",pay,,His salary is not high.,그의 월급은 높지 않다.
고1-2,salary,n.,"급여, 월급",pay,,She saves half her salary.,그녀는 월급의 절반을 저축한다.
고1-2,salary,n.,"급여, 월급",pay,,The salary is paid monthly.,급여는 매달 지급된다.
고1-2,sample,n.,"표본, 견본",,,Take a sample of the water.,물 표본을 채취해라.
고1-2,sample,n.,"표본, 견본",,,She gave me a free sample.,그녀는 나에게 무료 샘플을 주었다.
고1-2,sample,n.,"표본, 견본",,,The sample was too small.,그 표본은 너무 적었다.
고1-2,satisfy,v.,만족시키다,please,,The answer satisfied everyone.,그 답이 모두를 만족시켰다.
고1-2,satisfy,v.,만족시키다,please,,Nothing satisfies him.,그는 무엇에도 만족하지 않는다.
고1-2,satisfy,v.,만족시키다,please,,She was satisfied with the result.,그녀는 결과에 만족했다.
고1-2,sauce,n.,소스,,,Add sauce to the noodles.,국수에 소스를 넣어라.
고1-2,sauce,n.,소스,,,This sauce is too salty.,이 소스는 너무 짜다.
고1-2,sauce,n.,소스,,,She made a tomato sauce.,그녀는 토마토 소스를 만들었다.
고1-2,scale,n.,"규모, 저울",,,The project is large in scale.,그 사업은 규모가 크다.
고1-2,scale,n.,"규모, 저울",,,Weigh it on the scale.,저울에 그것을 달아라.
고1-2,scale,n.,"규모, 저울",,,Draw the map to scale.,지도를 축척에 맞춰 그려라.
고1-2,scare,v.,"겁주다, 무섭게 하다",frighten,,The loud sound scared me.,큰 소리가 나를 놀라게 했다.
고1-2,scare,v.,"겁주다, 무섭게 하다",frighten,,Do not scare your sister.,누나를 겁주지 마라.
고1-2,scare,v.,"겁주다, 무섭게 하다",frighten,,Thunder scares the dog.,천둥이 개를 무섭게 한다.
고1-2,scarf,n.,"목도리, 스카프",,,She wore a warm scarf.,그녀는 따뜻한 목도리를 했다.
고1-2,scarf,n.,"목도리, 스카프",,,The scarf is made of wool.,그 목도리는 양모로 만들어졌다.
고1-2,scarf,n.,"목도리, 스카프",,,He lost his scarf on the bus.,그는 버스에서 목도리를 잃어버렸다.
고1-2,scene,n.,"장면, 현장",sight,,The last scene was moving.,마지막 장면은 감동적이었다.
고1-2,scene,n.,"장면, 현장",sight,,Police arrived at the scene.,경찰이 현장에 도착했다.
고1-2,scene,n.,"장면, 현장",sight,,What a beautiful scene!,정말 아름다운 광경이구나!
고1-2,schedule,n.,"일정, 시간표",timetable,,Check the schedule first.,먼저 일정을 확인해라.
고1-2,schedule,n.,"일정, 시간표",timetable,,Our schedule is very tight.,우리 일정은 아주 빠듯하다.
고1-2,schedule,n.,"일정, 시간표",timetable,,The train is on schedule.,기차는 정시 운행 중이다.
고1-2,scratch,v.,긁다,scrape,,Do not scratch the table.,탁자를 긁지 마라.
고1-2,scratch,v.,긁다,scrape,,The cat scratched my hand.,고양이가 내 손을 할퀴었다.
고1-2,scratch,v.,긁다,scrape,,She is scratching her arm.,그녀는 팔을 긁고 있다.
고1-2,scream,v.,비명을 지르다,,,She screamed in fright.,그녀는 놀라서 비명을 질렀다.
고1-2,scream,v.,비명을 지르다,,,Do not scream indoors.,실내에서 소리 지르지 마라.
고1-2,scream,v.,비명을 지르다,,,The children screamed with joy.,아이들이 기뻐서 소리쳤다.
고1-2,screen,n.,"화면, 가리개",display,,The screen is too bright.,화면이 너무 밝다.
고1-2,screen,n.,"화면, 가리개",display,,She looked at the screen.,그녀는 화면을 봤다.
고1-2,screen,n.,"화면, 가리개",display,,A screen blocked the wind.,가리개가 바람을 막았다.
고1-2,seal,v.,"봉하다, 밀봉하다",close,,"Seal the envelope, please.",봉투를 봉해 주세요.
고1-2,seal,v.,"봉하다, 밀봉하다",close,,She sealed the jar tightly.,그녀는 병을 꽉 밀봉했다.
고1-2,seal,v.,"봉하다, 밀봉하다",close,,They sealed the box with tape.,그들은 상자를 테이프로 봉했다.
고1-2,search,v.,"찾다, 수색하다",look for,,They searched the whole house.,그들은 온 집을 수색했다.
고1-2,search,v.,"찾다, 수색하다",look for,,She searched for her keys.,그녀는 열쇠를 찾았다.
고1-2,search,v.,"찾다, 수색하다",look for,,We are searching online.,우리는 온라인에서 검색하고 있다.
고1-2,seat,n.,"자리, 좌석",,,Please take a seat.,자리에 앉으세요.
고1-2,seat,n.,"자리, 좌석",,,There are no seats left.,남은 자리가 없다.
고1-2,seat,n.,"자리, 좌석",,,She gave her seat to an old man.,그녀는 노인에게 자리를 양보했다.
고1-2,secret,"n., adj.","비밀, 비밀의",,,Can you keep a secret?,비밀을 지킬 수 있니?
고1-2,secret,"n., adj.","비밀, 비밀의",,,She told me her secret.,그녀는 나에게 비밀을 말해 주었다.
고1-2,secret,"n., adj.","비밀, 비밀의",,,They met in a secret place.,그들은 비밀 장소에서 만났다.
고1-2,secretary,n.,비서,assistant,,The secretary answered the phone.,비서가 전화를 받았다.
고1-2,secretary,n.,비서,assistant,,She works as a secretary.,그녀는 비서로 일한다.
고1-2,secretary,n.,비서,assistant,,Ask the secretary for the form.,비서에게 양식을 요청해라.
고1-2,section,n.,"부분, 구역",part,,Read the first section.,첫 부분을 읽어라.
고1-2,section,n.,"부분, 구역",part,,This section is for children.,이 구역은 아이들용이다.
고1-2,section,n.,"부분, 구역",part,,The book has five sections.,그 책은 다섯 부분으로 되어 있다.
고1-2,secure,adj.,"안전한, 확실한",safe,,The house is secure now.,그 집은 이제 안전하다.
고1-2,secure,adj.,"안전한, 확실한",safe,,She has a secure job.,그녀는 안정된 직업이 있다.
고1-2,secure,adj.,"안전한, 확실한",safe,,Keep your password secure.,비밀번호를 안전하게 지켜라.
고1-2,seed,n.,"씨, 씨앗",,,Plant the seed in spring.,봄에 씨앗을 심어라.
고1-2,seed,n.,"씨, 씨앗",,,A seed grows into a tree.,씨앗은 자라서 나무가 된다.
고1-2,seed,n.,"씨, 씨앗",,,She saved seeds from the fruit.,그녀는 과일에서 씨를 받아 두었다.
고1-2,seek,v.,"찾다, 구하다","look for, search for",,They seek a better life.,그들은 더 나은 삶을 찾는다.
고1-2,seek,v.,"찾다, 구하다","look for, search for",,She sought help from her teacher.,그녀는 선생님께 도움을 구했다.
고1-2,seek,v.,"찾다, 구하다","look for, search for",,Many young people seek jobs in the city.,많은 젊은이가 도시에서 일자리를 구한다.
고1-2,seem,v.,"~인 것 같다, ~해 보이다",appear,,She seems tired today.,그녀는 오늘 피곤해 보인다.
고1-2,seem,v.,"~인 것 같다, ~해 보이다",appear,,It seems like a good idea.,그것은 좋은 생각인 것 같다.
고1-2,seem,v.,"~인 것 같다, ~해 보이다",appear,,He seemed surprised at the news.,그는 그 소식에 놀란 것 같았다.
고1-2,select,v.,"선택하다, 고르다",choose,,Select one from the list.,목록에서 하나를 고르세요.
고1-2,select,v.,"선택하다, 고르다",choose,,She selected a red one.,그녀는 빨간 것을 골랐다.
고1-2,select,v.,"선택하다, 고르다",choose,,They selected him as captain.,그들은 그를 주장으로 뽑았다.
고1-2,self,n.,자기 자신,,,The self changes as we grow.,자아는 우리가 자라면서 변한다.
고1-2,self,n.,자기 자신,,,She lost her sense of self.,그녀는 자아 감각을 잃었다.
고1-2,self,n.,자기 자신,,,He wrote a book about the self.,그는 자아에 관한 책을 썼다.
고1-2,senior,adj.,"손위의, 상급의",older,"junior, junior",He is senior to me.,그는 나보다 손위다.
고1-2,senior,adj.,"손위의, 상급의",older,"junior, junior",Senior students help the younger ones.,상급생이 후배를 돕는다.
고1-2,senior,adj.,"손위의, 상급의",older,"junior, junior",She holds a senior position.,그녀는 고위직을 맡고 있다.
고1-2,sense,n.,감각,feeling,,Dogs have a good sense of smell.,개는 후각이 뛰어나다.
고1-2,sense,n.,감각,feeling,,She lost her sense of taste.,그녀는 미각을 잃었다.
고1-2,sense,n.,"의미, 뜻",meaning,,That does not make sense.,그것은 말이 되지 않는다.
고1-2,sense,n.,"의미, 뜻",meaning,,"In a sense, you are right.",어떤 의미에서는 네가 옳다.
고1-2,sentence,n.,문장,,,Write a sentence with this word.,이 단어로 문장을 하나 쓰세요.
고1-2,sentence,n.,문장,,,The sentence is too long.,그 문장은 너무 길다.
고1-2,sentence,n.,문장,,,She read the first sentence aloud.,그녀는 첫 문장을 소리 내어 읽었다.
고1-2,separate,v.,"분리하다, 나누다",divide,"combine, connect, join, merge, connect, combine, join, merge",Separate the trash by type.,쓰레기를 종류별로 분리해라.
고1-2,separate,v.,"분리하다, 나누다",divide,"combine, connect, join, merge, connect, combine, join, merge",They separated the two groups.,그들은 두 무리를 나눴다.
고1-2,separate,v.,"분리하다, 나누다",divide,"combine, connect, join, merge, connect, combine, join, merge",A wall separates the rooms.,벽이 방들을 나눈다.
고1-2,series,n.,"연속, 시리즈",sequence,,We watched the whole series.,우리는 그 시리즈를 다 봤다.
고1-2,series,n.,"연속, 시리즈",sequence,,A series of tests followed.,일련의 검사가 이어졌다.
고1-2,series,n.,"연속, 시리즈",sequence,,The series has five books.,그 시리즈는 책 다섯 권이다.
고1-2,serious,adj.,"심각한, 중대한","grave, severe",,This is a serious matter.,이것은 심각한 문제이다.
고1-2,serious,adj.,"심각한, 중대한","grave, severe",,He had a serious accident.,그는 심각한 사고를 당했다.
고1-2,serious,adj.,진지한,"sincere, earnest",,Are you serious about quitting?,그만두는 것에 대해 진심이니?
고1-2,serious,adj.,진지한,"sincere, earnest",,She has a serious face.,그녀는 진지한 표정을 하고 있다.
고1-2,serve,v.,"(음식을) 내다, 제공하다",provide,,They serve breakfast until ten.,그들은 10시까지 아침을 제공한다.
고1-2,serve,v.,"(음식을) 내다, 제공하다",provide,,She served tea to the guests.,그녀는 손님들에게 차를 내었다.
고1-2,serve,v.,"(음식을) 내다, 제공하다",provide,,This restaurant serves Korean food.,이 식당은 한식을 낸다.
고1-2,session,n.,"시간, 기간",meeting,,The morning session was long.,오전 시간은 길었다.
고1-2,session,n.,"시간, 기간",meeting,,We had a practice session.,우리는 연습 시간을 가졌다.
고1-2,session,n.,"시간, 기간",meeting,,The session ended early.,그 회기는 일찍 끝났다.
고1-2,settle,v.,"정착하다, 해결하다",resolve,,They settled in this town.,그들은 이 마을에 정착했다.
고1-2,settle,v.,"정착하다, 해결하다",resolve,,We settled the argument.,우리는 그 다툼을 해결했다.
고1-2,settle,v.,"정착하다, 해결하다",resolve,,Dust settled on the table.,먼지가 탁자에 내려앉았다.
고1-2,several,adj.,몇몇의,a few,,Several students were late.,몇몇 학생이 늦었다.
고1-2,several,adj.,몇몇의,a few,,She read several books.,그녀는 책 몇 권을 읽었다.
고1-2,several,adj.,몇몇의,a few,,We waited several hours.,우리는 몇 시간을 기다렸다.
고1-2,sew,v.,"바느질하다, 꿰매다",stitch,,She sewed a button on.,그녀는 단추를 달았다.
고1-2,sew,v.,"바느질하다, 꿰매다",stitch,,My mother sews very well.,우리 어머니는 바느질을 아주 잘하신다.
고1-2,sew,v.,"바느질하다, 꿰매다",stitch,,He is sewing a torn bag.,그는 찢어진 가방을 꿰매고 있다.
고1-2,sex,n.,성별,gender,,Write your name and sex here.,여기에 이름과 성별을 쓰세요.
고1-2,sex,n.,성별,gender,,The form asks for age and sex.,그 양식은 나이와 성별을 묻는다.
고1-2,sex,n.,성별,gender,,Both sexes joined the class.,남녀 모두 그 수업에 참여했다.
고1-2,shade,n.,그늘,,,We sat in the shade.,우리는 그늘에 앉았다.
고1-2,shade,n.,그늘,,,The tree gives good shade.,그 나무는 좋은 그늘을 만든다.
고1-2,shade,n.,그늘,,,Find shade on a hot day.,더운 날에는 그늘을 찾아라.
고1-2,shadow,n.,그림자,,,My shadow is long in the evening.,저녁에는 내 그림자가 길다.
고1-2,shadow,n.,그림자,,,A shadow moved on the wall.,벽에 그림자가 움직였다.
고1-2,shadow,n.,그림자,,,The tree cast a shadow.,나무가 그림자를 드리웠다.
고1-2,shake,v.,"흔들다, 떨다",,,Shake the bottle before use.,쓰기 전에 병을 흔들어라.
고1-2,shake,v.,"흔들다, 떨다",,,Her hands shook with cold.,그녀의 손이 추위로 떨렸다.
고1-2,shake,v.,"흔들다, 떨다",,,The ground is shaking.,땅이 흔들리고 있다.
고1-2,shall,aux.,"~할 것이다, ~할까요",will,,Shall we go now?,지금 갈까요?
고1-2,shall,aux.,"~할 것이다, ~할까요",will,,We shall meet again.,우리는 다시 만날 것이다.
고1-2,shall,aux.,"~할 것이다, ~할까요",will,,Shall I open the window?,창문을 열까요?
고1-2,shame,n.,"부끄러움, 수치",embarrassment,,He felt shame after lying.,그는 거짓말한 뒤 부끄러움을 느꼈다.
고1-2,shame,n.,"부끄러움, 수치",embarrassment,,What a shame!,정말 안타깝구나!
고1-2,shame,n.,"부끄러움, 수치",embarrassment,,Shame kept her silent.,부끄러움이 그녀를 침묵하게 했다.
고1-2,shape,n.,"모양, 형태",form,,The cloud has a strange shape.,그 구름은 이상한 모양이다.
고1-2,shape,n.,"모양, 형태",form,,Draw a shape on the paper.,종이에 도형을 하나 그려라.
고1-2,shape,n.,"모양, 형태",form,,The cookies are in the shape of stars.,쿠키가 별 모양이다.
고1-2,share,v.,"나누다, 함께 쓰다","split, divide",,I share a room with my brother.,나는 형과 방을 함께 쓴다.
고1-2,share,v.,"나누다, 함께 쓰다","split, divide",,Let us share the pizza.,피자를 나눠 먹자.
고1-2,share,v.,(생각을) 공유하다,"tell, pass on",,She shared her idea with the class.,그녀는 자기 생각을 반 친구들과 나눴다.
고1-2,share,v.,(생각을) 공유하다,"tell, pass on",,He shared the photo online.,그는 그 사진을 온라인에 공유했다.
고1-2,sharp,adj.,날카로운,,"dull, dull","Be careful, the knife is sharp.","조심해, 칼이 날카로워."
고1-2,sharp,adj.,날카로운,,"dull, dull",She cut the paper with a sharp blade.,그녀는 날카로운 칼날로 종이를 잘랐다.
고1-2,sharp,adj.,날카로운,,"dull, dull",He has sharp eyes.,그는 눈이 예리하다.
고1-2,shave,v.,면도하다,,,He shaves every morning.,그는 매일 아침 면도한다.
고1-2,shave,v.,면도하다,,,She shaved the dog's fur.,그녀는 개의 털을 깎았다.
고1-2,shave,v.,면도하다,,,He is shaving now.,그는 지금 면도하고 있다.
고1-2,sheep,n.,양,,,Sheep eat grass all day.,양은 하루 종일 풀을 먹는다.
고1-2,sheep,n.,양,,,The sheep stayed near the fence.,양들이 울타리 근처에 있었다.
고1-2,sheep,n.,양,,,Wool comes from sheep.,양모는 양에게서 나온다.
고1-2,sheet,n.,"한 장, 시트",,,Give me a sheet of paper.,종이 한 장 주세요.
고1-2,sheet,n.,"한 장, 시트",,,She changed the bed sheet.,그녀는 침대 시트를 갈았다.
고1-2,sheet,n.,"한 장, 시트",,,The sheet was torn.,그 장이 찢어져 있었다.
고1-2,shelf,n.,선반,,,The book is on the top shelf.,책은 맨 위 선반에 있다.
고1-2,shelf,n.,선반,,,She built a wooden shelf.,그녀는 나무 선반을 만들었다.
고1-2,shelf,n.,선반,,,The shelf is full of books.,그 선반은 책으로 가득하다.
고1-2,shell,n.,"껍데기, 껍질",,,We found a shell on the beach.,우리는 해변에서 조개껍데기를 발견했다.
고1-2,shell,n.,"껍데기, 껍질",,,The egg shell cracked.,달걀 껍데기가 깨졌다.
고1-2,shell,n.,"껍데기, 껍질",,,A turtle hides in its shell.,거북은 등딱지 안에 숨는다.
고1-3,shelter,n.,"보호소, 대피처",,,We found shelter from the rain.,우리는 비를 피할 곳을 찾았다.
고1-3,shelter,n.,"보호소, 대피처",,,The dog came from a shelter.,그 개는 보호소에서 왔다.
고1-3,shelter,n.,"보호소, 대피처",,,Trees give shelter to birds.,나무는 새들에게 은신처가 된다.
고1-3,shift,n.,"교대, 변화",change,,She works the night shift.,그녀는 야간 교대 근무를 한다.
고1-3,shift,n.,"교대, 변화",change,,There was a shift in opinion.,의견에 변화가 있었다.
고1-3,shift,n.,"교대, 변화",change,,The shift ends at six.,그 교대는 6시에 끝난다.
고1-3,shine,v.,"빛나다, 비추다",,"fade, fade",The sun is shining brightly.,해가 밝게 빛나고 있다.
고1-3,shine,v.,"빛나다, 비추다",,"fade, fade",Her eyes shone with joy.,그녀의 눈이 기쁨으로 빛났다.
고1-3,shine,v.,"빛나다, 비추다",,"fade, fade",Stars shine at night.,별은 밤에 빛난다.
고1-3,shock,n.,충격,,,The news was a shock.,그 소식은 충격이었다.
고1-3,shock,n.,충격,,,She died of shock.,그녀는 충격으로 죽었다.
고1-3,shock,n.,충격,,,His answer gave me a shock.,그의 답이 나에게 충격을 주었다.
고1-3,shoot,v.,"쏘다, 슛하다",,,Do not shoot at animals.,동물에게 쏘지 마라.
고1-3,shoot,v.,"쏘다, 슛하다",,,He shot the ball into the net.,그는 공을 골대에 넣었다.
고1-3,shoot,v.,"쏘다, 슛하다",,,She is shooting a film.,그녀는 영화를 촬영하고 있다.
고1-3,shore,n.,"해안, 물가",coast,,We walked along the shore.,우리는 물가를 따라 걸었다.
고1-3,shore,n.,"해안, 물가",coast,,The boat reached the shore.,배가 해안에 닿았다.
고1-3,shore,n.,"해안, 물가",coast,,Shells lay on the shore.,조개껍데기가 물가에 있었다.
고1-3,shoulder,n.,어깨,,,My shoulder hurts today.,오늘 어깨가 아프다.
고1-3,shoulder,n.,어깨,,,He carried the bag on his shoulder.,그는 가방을 어깨에 멨다.
고1-3,shoulder,n.,어깨,,,She looked over her shoulder.,그녀는 어깨 너머로 돌아봤다.
고1-3,shout,v.,"소리치다, 외치다","yell, cry out",whisper,Do not shout in the classroom.,교실에서 소리치지 마라.
고1-3,shout,v.,"소리치다, 외치다","yell, cry out",whisper,He shouted for help.,그는 도와달라고 소리쳤다.
고1-3,shout,v.,"소리치다, 외치다","yell, cry out",whisper,She is shouting at the players.,그녀는 선수들에게 외치고 있다.
고1-3,shower,n.,"샤워, 소나기",,,I take a shower every night.,나는 매일 밤 샤워한다.
고1-3,shower,n.,"샤워, 소나기",,,A sudden shower soaked us.,갑작스러운 소나기가 우리를 적셨다.
고1-3,shower,n.,"샤워, 소나기",,,The shower is not working.,샤워기가 작동하지 않는다.
고1-3,shut,v.,닫다,close,,"Shut the door, please.",문을 닫아 주세요.
고1-3,shut,v.,닫다,close,,She shut her eyes tightly.,그녀는 눈을 꼭 감았다.
고1-3,shut,v.,닫다,close,,The shop shuts at nine.,그 가게는 9시에 닫는다.
고1-3,sight,n.,"시력, 광경",vision,,Her sight is getting weak.,그녀의 시력이 나빠지고 있다.
고1-3,sight,n.,"시력, 광경",vision,,The sight was beautiful.,그 광경은 아름다웠다.
고1-3,sight,n.,"시력, 광경",vision,,He lost sight of the ship.,그는 배를 시야에서 놓쳤다.
고1-3,sign,"n., v.","표지판, 표시",mark,,The sign says the road is closed.,표지판에 길이 막혔다고 쓰여 있다.
고1-3,sign,"n., v.","표지판, 표시",mark,,Follow the signs to the exit.,출구 표지를 따라가라.
고1-3,sign,"n., v.",서명하다,,,Please sign your name here.,여기에 서명해 주세요.
고1-3,sign,"n., v.",서명하다,,,He signed the letter and sent it.,그는 편지에 서명하고 부쳤다.
고1-3,significant,adj.,"중요한, 상당한","important, considerable",,There was a significant difference.,상당한 차이가 있었다.
고1-3,significant,adj.,"중요한, 상당한","important, considerable",,This is a significant discovery.,이것은 중요한 발견이다.
고1-3,significant,adj.,"중요한, 상당한","important, considerable",,Sales rose by a significant amount.,매출이 상당한 액수만큼 올랐다.
고1-3,silly,adj.,"어리석은, 우스운",foolish,,That was a silly mistake.,그것은 어리석은 실수였다.
고1-3,silly,adj.,"어리석은, 우스운",foolish,,Do not be silly.,바보같이 굴지 마라.
고1-3,silly,adj.,"어리석은, 우스운",foolish,,He told a silly joke.,그는 우스운 농담을 했다.
고1-3,silver,n.,은,,,The ring is made of silver.,그 반지는 은으로 만들어졌다.
고1-3,silver,n.,은,,,She won a silver medal.,그녀는 은메달을 땄다.
고1-3,silver,n.,은,,,Silver turns dark over time.,은은 시간이 지나면 검어진다.
고1-3,similar,adj.,"비슷한, 유사한",alike,,Our ideas are similar.,우리 생각은 비슷하다.
고1-3,similar,adj.,"비슷한, 유사한",alike,,The twins look very similar.,그 쌍둥이는 매우 닮았다.
고1-3,similar,adj.,"비슷한, 유사한",alike,,This is similar to what we saw before.,이것은 우리가 전에 본 것과 비슷하다.
고1-3,simple,adj.,"간단한, 단순한","easy, plain","complex, complex",The rule is very simple.,그 규칙은 아주 간단하다.
고1-3,simple,adj.,"간단한, 단순한","easy, plain","complex, complex",She lives a simple life.,그녀는 단순한 삶을 산다.
고1-3,simple,adj.,"간단한, 단순한","easy, plain","complex, complex",Here is a simple way to solve it.,그것을 푸는 간단한 방법이 있다.
고1-3,since,conj.,"~ 이후로, ~ 때문에",,,I have lived here since 2020.,나는 2020년부터 여기 살았다.
고1-3,since,conj.,"~ 이후로, ~ 때문에",,,"Since it rained, we stayed home.",비가 와서 우리는 집에 있었다.
고1-3,since,conj.,"~ 이후로, ~ 때문에",,,She has not called since then.,그녀는 그 후로 전화하지 않았다.
고1-3,single,adj.,"하나의, 혼자의",,"couple, couple",Not a single person came.,단 한 사람도 오지 않았다.
고1-3,single,adj.,"하나의, 혼자의",,"couple, couple",She lives in a single room.,그녀는 단칸방에 산다.
고1-3,single,adj.,"하나의, 혼자의",,"couple, couple",He is still single.,그는 아직 미혼이다.
고1-3,sink,v.,가라앉다,,"float, rise, rise, float, swim",The boat began to sink.,배가 가라앉기 시작했다.
고1-3,sink,v.,가라앉다,,"float, rise, rise, float, swim",The coin sank to the bottom.,동전이 바닥으로 가라앉았다.
고1-3,sink,v.,가라앉다,,"float, rise, rise, float, swim",Wood does not sink in water.,나무는 물에 가라앉지 않는다.
고1-3,site,n.,"장소, 부지",,,They chose a site for the school.,그들은 학교 부지를 골랐다.
고1-3,site,n.,"장소, 부지",,,The site is near the river.,그 부지는 강 근처에 있다.
고1-3,site,n.,"장소, 부지",,,This web site is useful.,이 웹사이트는 유용하다.
고1-3,situate,v.,위치시키다,locate,,The house is situated on a hill.,그 집은 언덕에 자리 잡고 있다.
고1-3,situate,v.,위치시키다,locate,,They situated the desk by the window.,그들은 책상을 창가에 두었다.
고1-3,situate,v.,위치시키다,locate,,The town is situated near the sea.,그 마을은 바다 근처에 있다.
고1-3,skill,n.,"기술, 능력","ability, technique",,Cooking is a useful skill.,요리는 유용한 기술이다.
고1-3,skill,n.,"기술, 능력","ability, technique",,He has great computer skills.,그는 뛰어난 컴퓨터 기술을 가지고 있다.
고1-3,skill,n.,"기술, 능력","ability, technique",,Listening is an important language skill.,듣기는 중요한 언어 기술이다.
고1-3,slave,n.,노예,,,Slaves had no freedom.,노예에게는 자유가 없었다.
고1-3,slave,n.,노예,,,He worked like a slave.,그는 노예처럼 일했다.
고1-3,slave,n.,노예,,,The story is about a slave.,그 이야기는 한 노예에 관한 것이다.
고1-3,slide,v.,미끄러지다,,,The children slide on the ice.,아이들이 얼음 위에서 미끄러진다.
고1-3,slide,v.,미끄러지다,,,The box slid off the table.,상자가 탁자에서 미끄러졌다.
고1-3,slide,v.,미끄러지다,,,She is sliding down the hill.,그녀는 언덕을 미끄러져 내려가고 있다.
고1-3,slight,adj.,"약간의, 가벼운",small,,There was a slight change.,약간의 변화가 있었다.
고1-3,slight,adj.,"약간의, 가벼운",small,,She has a slight cold.,그녀는 가벼운 감기에 걸렸다.
고1-3,slight,adj.,"약간의, 가벼운",small,,A slight noise woke me.,작은 소리가 나를 깨웠다.
고1-3,slip,v.,"미끄러지다, 빠져나가다",,,He slipped on the wet floor.,그는 젖은 바닥에서 미끄러졌다.
고1-3,slip,v.,"미끄러지다, 빠져나가다",,,The glass slipped from my hand.,유리잔이 내 손에서 미끄러졌다.
고1-3,slip,v.,"미끄러지다, 빠져나가다",,,Time slips away quickly.,시간은 빠르게 흘러간다.
고1-3,smart,adj.,"똑똑한, 영리한","clever, bright",,She is a smart student.,그녀는 똑똑한 학생이다.
고1-3,smart,adj.,"똑똑한, 영리한","clever, bright",,That was a smart choice.,그것은 현명한 선택이었다.
고1-3,smart,adj.,"똑똑한, 영리한","clever, bright",,Dogs are smart animals.,개는 영리한 동물이다.
고1-3,smash,v.,"박살내다, 부수다",,,He smashed the window.,그는 창문을 박살냈다.
고1-3,smash,v.,"박살내다, 부수다",,,The plate smashed on the floor.,접시가 바닥에서 산산조각 났다.
고1-3,smash,v.,"박살내다, 부수다",,,Waves smash against the rocks.,파도가 바위에 부딪쳐 부서진다.
고1-3,smoke,n.,연기,,,Smoke rose from the chimney.,굴뚝에서 연기가 올랐다.
고1-3,smoke,n.,연기,,,The smoke made us cough.,연기 때문에 우리는 기침했다.
고1-3,smoke,n.,연기,,,Smoke means fire nearby.,연기는 근처에 불이 있다는 뜻이다.
고1-3,smooth,adj.,"매끄러운, 순조로운",,"rough, rough",The table is smooth.,그 탁자는 매끄럽다.
고1-3,smooth,adj.,"매끄러운, 순조로운",,"rough, rough",We had a smooth trip.,우리는 순조로운 여행을 했다.
고1-3,smooth,adj.,"매끄러운, 순조로운",,"rough, rough",Her skin feels smooth.,그녀의 피부는 매끄럽다.
고1-3,snack,n.,간식,,,She ate a snack after school.,그녀는 방과 후 간식을 먹었다.
고1-3,snack,n.,간식,,,This snack is too salty.,이 간식은 너무 짜다.
고1-3,snack,n.,간식,,,We packed snacks for the trip.,우리는 여행용 간식을 쌌다.
고1-3,snake,n.,뱀,,,A snake crossed the path.,뱀 한 마리가 길을 건너갔다.
고1-3,snake,n.,뱀,,,Snakes hide under rocks.,뱀은 바위 밑에 숨는다.
고1-3,snake,n.,뱀,,,She is afraid of snakes.,그녀는 뱀을 무서워한다.
고1-3,snap,v.,"딱 부러지다, 찰칵 찍다",break,,The branch snapped in the wind.,바람에 나뭇가지가 딱 부러졌다.
고1-3,snap,v.,"딱 부러지다, 찰칵 찍다",break,,She snapped a photo quickly.,그녀는 재빨리 사진을 찍었다.
고1-3,snap,v.,"딱 부러지다, 찰칵 찍다",break,,He snapped the pencil in two.,그는 연필을 두 동강 냈다.
고1-3,social,adj.,"사회의, 사교적인",,,Social rules differ by country.,사회 규범은 나라마다 다르다.
고1-3,social,adj.,"사회의, 사교적인",,,She is a social person.,그녀는 사교적인 사람이다.
고1-3,social,adj.,"사회의, 사교적인",,,Social media changed everything.,소셜 미디어가 모든 것을 바꿨다.
고1-3,society,n.,사회,community,,Technology changes society.,기술은 사회를 변화시킨다.
고1-3,society,n.,사회,community,,Every member of society has a role.,사회의 모든 구성원은 역할이 있다.
